abbreviation,text,regex
Univ,University,\bUniv\b
Natl,National,\bNatl\b
Inst,Institute,\bInst\b
Sci,Science,\bSci\b
Ctr,Centre,\bCtr\b
Res,Research,\bRes\b
Technol,Technology,\bTechnol\b
Dev,Development,\bDev\b
Acad,Academy,\bAcad\b
Agr,Agriculture,\bAgr\b
Nat,Natural,\bNat\b
Med,Medical,\bMed\b
Coll,College,\bColl\b
Int,International,\bInt\b
Agcy,Agency,\bAgcy\b
Hist,History,\bHist\b
Hlth,Health,\bHlth\b
Biol,Biology,\bBiol\b
Minist,Ministry,\bMinist\b
Dept,Department,\bDept\b
Calif,California,\bCalif\b
Vet,Veterinary,\bVet\b
Genet,Genetic,\bGenet\b
Environm,Environment,\bEnvironm\b
Trop,Tropical,\bTrop\b
Engn,Engineering,\bEngn\b
Lab,Laboratory,\bLab\b
Cent,Central,\bCent\b
Ecol,Ecology,\bEcol\b
Fed,Federal,\bFed\b
Dis,District,\bDis\b
Hosp,Hospital,\bHosp\b
Conservat,Conservation,\bConservat\b
Ind,Industrial,\bInd\b
Biodivers,Biodiversity,\bBiodivers\b
Publ,Public,\bPubl\b
Oceanog,Oceanography,\bOceanog\b
Aquat,Aquatic,\bAquat\b
Anim,Animal,\bAnim\b
Biotec,Biotechnology,\bBiotec\b
Stn,Station,\bStn\b
Serv,Service,\bServ\b
Teknol,Teknologi,\bTeknol\b
Soc,Society,\bSoc\b
Fdn,Foundation,\bFdn\b
Off,Office,\bOff\b
Org,Organization,\bOrg\b
Assoc,Association,\bAssoc\b
Atmospher,Atmospheric,\bAtmospher\b
Geol,Geology,\bGeol\b
Mol,Molecular,\bMol\b
Rech,Recherche,\bRech\b
Palaontol,Paleontology,\bPalaontol\b
Polytech,Polytechnic,\bPolytech\b
Prod,Products,\bProd\b
Tech,Technical,\bTech\b
Cooperat,Cooperation,\bCooperat\b
Grp,Group,\bGrp\b
Pk,Park,\bPk\b
Reg,Regional,\bReg\b
Govt,Government,\bGovt\b
Nacl,Nacional,\bNacl\b
Entomol,Entomology,\bEntomol\b
Prevent,Preventative,\bPrevent\b
zool,Zoological,\bzool\b
Infect,Infectious,\bInfect\b
Isl,Island,\bIsl\b
Pharmaceut,Pharmaceutical,\bPharmaceut\b
Politecn,Politecnico,\bPolitecn\b
Prov,Province,\bProv\b
Terr,Terrestrial,\bTerr\b
Protect,Protection,\bProtect\b
Amer,American,\bAmer\b
Labs,Laboratories,\bLabs\b
Pharm,Pharmacy,\bPharm\b
Adm,Administration,\bAdm\b
Parasitol,Parasitology,\bParasitol\b
Hyg,Hygiene,\bHyg\b
Chem,Chemicals,\bChem\b
Commiss,Commission,\bCommiss\b
Bot,Botany,\bBot\b
Grad,Graduate,\bGrad\b
Mem,Memorial,\bMem\b
Biosci,Bioscience,\bBiosci\b
ecosyst,Ecosystem,\becosyst\b
Epidemiol,Epidemiology,\bEpidemiol\b
Evolut,Evolution,\bEvolut\b
Innovat,Innovation,\bInnovat\b
Malariol,malariology,\bMalariol\b
Micol,Micologico,\bMicol\b
Adv,Advanced,\bAdv\b
Econ,Economics,\bEcon\b
Geosci,Geoscience,\bGeosci\b
Informat,Information,\bInformat\b
Nucl,Nuclear,\bNucl\b
Observ,Observatory,\bObserv\b
Ornithol,Ornithology,\bOrnithol\b
Toxicol,Toxicology,\bToxicol\b
Agron,Agronomy,\bAgron\b
Biotech,Biotechnology,\bBiotech\b
Invest,Investigacion,\bInvest\b
Oceanol,Oceanology,\bOceanol\b
Inspect,Inspection,\bInspect\b
Parasit,Parasitology,\bParasit\b
Agri,Agricultural,\bAgri\b
Genom,Genomics,\bGenom\b
Canc,Cancer,\bCanc\b
Clin,Clinic,\bClin\b
Collect,Collection,\bCollect\b
Stat,Station,\bStat\b
Applicat,Application,\bApplicat\b
Biotechnol,Biotechnology,\bBiotechnol\b
Educ,Education,\bEduc\b
Extens,Extension,\bExtens\b
Biovers,Bioversity,\bBiovers\b
Solut,Solutions,\bSolut\b
Sch,School,\bSch\b
Collaborat,Collaborative,\bCollaborat\b
Reconstruct,Reconstruction,\bReconstruct\b
Gen,General,\bGen\b
Expt,Experimental,\bExpt\b
Comm,Communications,\bComm\b
Solut,Solutions,\bSolut\b
Biomed,Biomedical,\bBiomed\b
Surg,Surgical,\bSurg\b
Author,Authority,\bAuthor\b
Promot,Promotion,\bPromot\b
Generat,Generation,\bGenerat\b
Div,Division,\bDiv\b
MINIST,Ministry,\bMINIST\b
HLTH,Health,\bHLTH\b
Initiat,Initiative,\bInitiat\b
Vocal,Vocational,\bVocal\b
N,North,\bN\b
E,East,\bE\b
W,West,\bW\b
S,South,\bS\b
NE,North East,\bNE\b
NW,North West,\bNW\b
SE,South East,\bSE\b
SW,South West,\bSW\b
Explorat,Exploration,\bExplorat\b
Palaeontol,Palaeontology,\bPalaeontol\b
Biopharmaceut,Biopharmaceutical,\bBiopharmaceut\b
R&D,Research and Development,\bR&D\b
